experiment,num_classes,balance,preprocess,corrected,status,accuracy,kappa,auc_macro,f1_macro,precision_macro,recall_macro,grade_accuracy,grade_kappa,grade_f1,type_accuracy,type_f1
cada_10class_balanced,10,Balanced,None,False,original,0.8201284796573876,0.7988712241925128,0.9756409602638747,0.7621115737174934,0.7970892385420825,0.7713767587971357,0.8201284796573876,0.7747625785822467,0.8193656787237605,0.9978586723768736,0.9977785940609235
cada_10class_balanced_blur,10,Balanced,Blur+CLAHE,False,original,0.47863247863247865,0.31695178849144645,0.8584517361168935,0.38674317609557485,0.39866910088872703,0.4624820172422912,0.48717948717948717,0.27643784786641934,0.3941653485978258,0.9871794871794872,0.97172433238007
cada_10class_balanced_resize,10,Balanced,Resize,False,original,0.5341880341880342,0.40049359501704074,0.8811530644916085,0.28098325771983057,0.2464406982305117,0.3384963241127624,0.5427350427350427,0.3663992711997368,0.35797724605491593,0.9871794871794872,0.97172433238007
cada_10class_balanced_sharp,10,Balanced,Sharp+CLAHE,False,original,0.4700854700854701,0.2856896679057631,0.8561739561764554,0.29449383102250815,0.3122437888198758,0.35744763844078914,0.4700854700854701,0.22104697986577182,0.2844683473389355,0.9871794871794872,0.97172433238007
cada_10class_unbalanced,10,Unbalanced,None,False,original,0.5299539170506913,0.39849991847383015,0.8856335798329514,0.3391262192988812,0.3177489177489178,0.40897812971342384,0.543778801843318,0.37343599615014433,0.40999806757003243,0.9723502304147466,0.9435483870967742
cada_4class_balanced,4,Balanced,None,False,original,0.8371040723981901,0.7776271565428234,0.0,0.8128313246990048,0.8410652881842392,0.8121477300917885,,,,,
cada_4class_balanced_blur,4,Balanced,Blur+CLAHE,False,original,0.6990950226244343,0.5955583380919293,0.0,0.6764725681995731,0.7234130371754397,0.6870687587860745,,,,,
cada_4class_balanced_blur_corrected,4,Balanced,Blur+CLAHE,True,corrected,0.6719457013574661,0.5644047521953077,0.8946573450586581,0.661010131554523,0.6894475057190574,0.6787323244852393,,,,,
cada_4class_balanced_corrected,4,Balanced,None,True,corrected,0.8371040723981901,0.7795297410388926,0.9660499912238489,0.8264578864255162,0.8358291203996269,0.8260977424956586,,,,,
cada_4class_balanced_resize,4,Balanced,Resize,False,original,0.7692307692307693,0.6884678372271398,0.0,0.7624281968031968,0.7677875647239999,0.7596012155792607,,,,,
cada_4class_balanced_resize_corrected,4,Balanced,Resize,True,corrected,0.7850678733031674,0.7113692603794337,0.9324761127129549,0.7712008851714733,0.7705325674410088,0.7752974861490118,,,,,
