Run_ID,Dataset,Model,Total_Epochs_Planned,Epochs_Trained,Best_mAP50_95,Best_Epoch,Last_mAP50_95,Last_mAP50,Last_Precision,Last_Recall
1,datasets/splits/dataset_knees_cropped_10_class_60_20_20/dataset.yaml,yolo11l.pt,100,66,0.115,50,0.102,0.272,0.291,0.372
2,datasets/splits/dataset_knees_cropped_10_class_60_20_20/dataset.yaml,yolo11l.pt,100,72,0.116,72,0.116,0.283,0.322,0.354
3,datasets/splits/dataset_knees_cropped_10_class_70_20_10/dataset.yaml,yolo11l.pt,100,67,0.101,45,0.101,0.265,0.27,0.395
4,datasets/splits/dataset_knees_cropped_10_class_80_10_10/dataset.yaml,yolo11l.pt,100,87,0.125,86,0.125,0.293,0.334,0.409
5,datasets/splits/dataset_knees_cropped_4_class_60_20_20/dataset.yaml,yolo11l.pt,100,80,0.108,58,0.107,0.279,0.31,0.41
6,datasets/splits/dataset_knees_cropped_4_class_70_20_10/dataset.yaml,yolo11l.pt,100,63,0.114,41,0.114,0.291,0.322,0.411
7,datasets/splits/dataset_knees_cropped_4_class_80_10_10/dataset.yaml,yolo11l.pt,100,50,0.123,49,0.122,0.304,0.337,0.446
8,datasets/splits/dataset_knees_cropped_60_20_20/dataset.yaml,yolo11l.pt,100,102,0.12,102,0.12,0.292,0.347,0.376
9,datasets/splits/dataset_knees_cropped_70_20_10/dataset.yaml,yolo11l.pt,100,102,0.103,97,0.103,0.264,0.264,0.407
10,datasets/splits/dataset_knees_cropped_80_10_10/dataset.yaml,yolo11l.pt,100,71,8.44,4,0.104,0.253,0.283,0.336
11,datasets/splits/dataset_knees_cropped_8_class_60_20_20/dataset.yaml,yolo11l.pt,100,92,0.112,92,0.112,0.293,0.358,0.406
12,datasets/splits/dataset_knees_cropped_8_class_70_20_10/dataset.yaml,yolo11l.pt,100,71,0.124,49,0.123,0.322,0.372,0.374
13,datasets/splits/dataset_knees_cropped_8_class_80_10_10/dataset.yaml,yolo11l.pt,100,50,0.124,28,0.123,0.312,0.355,0.418
14,datasets/splits/balanced_knees_cropped_10_class_60_20_20/dataset.yaml,yolo11l.pt,100,102,0.585,102,0.585,0.637,0.588,0.803
15,datasets/splits/balanced_knees_cropped_10_class_70_20_10/dataset.yaml,yolo11l.pt,100,102,0.597,102,0.597,0.643,0.595,0.814
16,datasets/splits/balanced_knees_cropped_10_class_80_10_10/dataset.yaml,yolo11l.pt,100,102,0.621,102,0.621,0.664,0.603,0.842
17,datasets/splits/balanced_knees_cropped_4_class_60_20_20/dataset.yaml,yolo11l.pt,100,102,0.298,99,0.297,0.499,0.501,0.571
18,datasets/splits/balanced_knees_cropped_4_class_70_20_10/dataset.yaml,yolo11l.pt,100,102,0.323,102,0.323,0.535,0.51,0.592
19,datasets/splits/balanced_knees_cropped_4_class_80_10_10/dataset.yaml,yolo11l.pt,100,102,0.371,102,0.371,0.591,0.573,0.623
20,datasets/splits/balanced_knees_cropped_60_20_20/dataset.yaml,yolo11l.pt,100,102,0.535,102,0.535,0.698,0.664,0.731
21,datasets/splits/balanced_knees_cropped_70_20_10/dataset.yaml,yolo11l.pt,100,102,0.573,102,0.573,0.732,0.695,0.78
22,datasets/splits/balanced_knees_cropped_80_10_10/dataset.yaml,yolo11l.pt,100,102,0.589,102,0.589,0.748,0.71,0.781
23,datasets/splits/balanced_knees_cropped_8_class_60_20_20/dataset.yaml,yolo11l.pt,100,102,0.658,102,0.658,0.76,0.769,0.777
24,datasets/splits/balanced_knees_cropped_8_class_70_20_10/dataset.yaml,yolo11l.pt,100,102,0.676,102,0.676,0.771,0.774,0.79
25,datasets/splits/balanced_knees_cropped_8_class_80_10_10/dataset.yaml,yolo11l.pt,100,102,0.726,102,0.726,0.82,0.808,0.837
26,datasets/splits/knee_full_10_class_60_20_20/dataset.yaml,yolo11l.pt,100,84,0.0781,83,0.0781,0.217,0.311,0.35
27,datasets/splits/knee_full_10_class_70_20_10/dataset.yaml,yolo11l.pt,100,56,0.0687,34,0.0677,0.179,0.283,0.282
28,datasets/splits/knee_full_10_class_80_10_10/dataset.yaml,yolo11l.pt,100,96,0.0839,96,0.0839,0.239,0.22,0.361
29,datasets/splits/knee_full_4_class_60_20_20/dataset.yaml,yolo11l.pt,100,102,0.0944,82,0.0941,0.269,0.308,0.423
30,datasets/splits/knee_full_4_class_70_20_10/dataset.yaml,yolo11l.pt,100,30,0.0441,30,0.0441,0.143,0.433,0.204
